ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1017	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10170	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	NA	NA
ASV_10171	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	Eucalanus bungii
ASV_10172	Eukaryota	Arthropoda	Malacostraca	Decapoda	Cancridae	Glebocarcinus	Glebocarcinus oregonensis
ASV_10173	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gregaria
ASV_10174	Unknown	NA	NA	NA	NA	NA	NA
ASV_10175	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus moultoni
ASV_10176	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10177	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10178	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus moultoni
ASV_10179	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	NA	NA	NA
ASV_1018	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10180	Eukaryota	Arthropoda	Malacostraca	Isopoda	NA	NA	NA
ASV_10181	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Heptacarpus	NA
ASV_10182	Unknown	NA	NA	NA	NA	NA	NA
ASV_10183	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	NA	NA
ASV_10184	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_10185	Eukaryota	Nemertea	Enopla	Monostilifera	Amphiporidae	NA	NA
ASV_10186	Unknown	NA	NA	NA	NA	NA	NA
ASV_10187	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	NA	NA
ASV_10188	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	Crangon crangon
ASV_10189	Eukaryota	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	Cucumaria piperata
ASV_1019	Eukaryota	Onychophora	Udeonychophora	Euonychophora	NA	NA	NA
ASV_10190	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Scolelepis	Scolelepis squamata
ASV_10191	Eukaryota	Oomycota	Anisolpidiales__c	Anisolpidiales	Anisolpidiaceae	NA	NA
ASV_10192	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus	Coscinodiscus wailesii
ASV_10193	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa raschii
ASV_10194	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris snyderi
ASV_10195	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	NA	NA
ASV_10196	Eukaryota	Nemertea	Palaeonemertea	Archinemertea	Cephalotrichidae	Cephalothrix	NA
ASV_10197	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10198	Eukaryota	Mollusca	Cephalopoda	Oegopsida	NA	NA	NA
ASV_10199	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	Tortanus discaudatus
ASV_102	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1020	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	NA	NA	NA
ASV_10200	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_10201	Unknown	NA	NA	NA	NA	NA	NA
ASV_10202	Unknown	NA	NA	NA	NA	NA	NA
ASV_10203	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	Parasagitta	NA
ASV_10204	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Balanus	Balanus glandula
ASV_10205	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	NA	NA
ASV_10206	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_10207	Eukaryota	Platyhelminthes	Rhabditophora	Polycladida	NA	NA	NA
ASV_10208	Unknown	NA	NA	NA	NA	NA	NA
ASV_10209	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Attheyaceae	Attheya	Attheya longicornis
ASV_1021	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_10210	Unknown	NA	NA	NA	NA	NA	NA
ASV_10211	Eukaryota	Nemertea	Pilidiophora	NA	NA	NA	NA
ASV_10212	Unknown	NA	NA	NA	NA	NA	NA
ASV_10213	Eukaryota	Mollusca	Gastropoda	Trochida	NA	NA	NA
ASV_10214	Eukaryota	Arthropoda	Ostracoda	Halocyprida	NA	NA	NA
ASV_10215	Unknown	NA	NA	NA	NA	NA	NA
ASV_10216	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus minutus
ASV_10217	Eukaryota	Mollusca	Gastropoda	Nudibranchia	NA	NA	NA
ASV_10218	Eukaryota	Arthropoda	Arachnida	Araneae	NA	NA	NA
ASV_10219	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_1022	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Eualus	Eualus subtilis
ASV_10220	Eukaryota	Arthropoda	Malacostraca	Decapoda	Callianassidae	NA	NA
ASV_10221	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	NA
ASV_10222	Unknown	NA	NA	NA	NA	NA	NA
ASV_10223	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Pseudopolydora	Pseudopolydora paucibranchiata
ASV_10224	Unknown	NA	NA	NA	NA	NA	NA
ASV_10225	Unknown	NA	NA	NA	NA	NA	NA
ASV_10226	Eukaryota	Mollusca	Gastropoda	Neogastropoda	Nassariidae	NA	NA
ASV_10227	Eukaryota	Arthropoda	Malacostraca	NA	NA	NA	NA
ASV_10228	Unknown	NA	NA	NA	NA	NA	NA
ASV_10229	Eukaryota	Arthropoda	Malacostraca	Decapoda	Cancridae	Metacarcinus	Metacarcinus gracilis
ASV_1023	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_10230	Unknown	NA	NA	NA	NA	NA	NA
ASV_10231	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris holmesi
ASV_10232	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_10233	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus nerka
ASV_10234	Unknown	NA	NA	NA	NA	NA	NA
ASV_10235	Eukaryota	Platyhelminthes	Rhabditophora	Polycladida	NA	NA	NA
ASV_10236	Eukaryota	Annelida	Polychaeta	Phyllodocida	Glyceridae	Glycera	Glycera americana
ASV_10237	Eukaryota	Annelida	Clitellata	Enchytraeida	NA	NA	NA
ASV_10238	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10239	Eukaryota	Rotifera	Eurotatoria	Ploima	NA	NA	NA
ASV_1024	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_10240	Eukaryota	Annelida	Polychaeta	Spionida	NA	NA	NA
ASV_10241	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	Synchaeta	Synchaeta baltica
ASV_10242	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	Crangon communis
ASV_10243	Eukaryota	Bacillariophyta	Mediophyceae	Hemiaulales	Hemiaulaceae	Hemiaulus	Hemiaulus sinensis
